"df_cciindia.text","df_cciindia.created"
"@CCI_India approves 100% acquisition of Star Health and Allied Insurance Company Limited by SafeCrop Holdings Private limited and Ors",2018-10-15 05:03:54
"@CCI_India amends the Combination Regulations vide notification dated 9th October 2018 to provide certainty &amp; trans… https://t.co/3KlXCRJYoE",2018-10-10 07:54:19
"@CCI_India imposes penalty of Rs. 38.05 crore  upon Sugar Mills and their Associations for rigging the bids in resp… https://t.co/k73rwuOUP1",2018-09-20 10:11:04
"@CCI_India approves acquisition of all outstanding shares of Syntel Inc. by Atos S.E",2018-09-20 10:10:22
"@CCI_India finds no appreciable adverse effect on competition in respect of ArcelorMittal and Nippon Steel &amp; Sumito… https://t.co/y2LKRBhHYh",2018-09-20 10:07:02
"@CCI_India finds no appreciable adverse effect on competition in respect of JSW Steel’s proposed acquisition of Bhu… https://t.co/zRBXaOAS2C",2018-09-20 10:06:36
".@CCI_India approves acquisition of Pipeline Infrastructure Private Limited by India Infrastructure Trust",2018-09-11 14:27:14
".@CCI_India approves combination of Linde and Praxair, subject to compliance of certain modifications",2018-09-07 12:43:54
"@CCI_India orders widening the scope of investigation by the Director General in the matter relating to alleged unf… https://t.co/cBBXBhn0HN",2018-09-06 07:37:25
"@CCI_India imposes penalty on Karnataka Film Chamber of Commerce (KFCC), and others for indulging in anti-competiti… https://t.co/6MW9VtP62B",2018-08-31 12:30:01
"Shri Arun Jaitley Honourable Union  Minister of Finance and Corporate Affairs inaugurates the new office of… https://t.co/DwOXQQrzUs",2018-08-30 09:08:07
"@CCI_India approves acquisition of cement assets of Century Textiles and Industries Limited by Ultratech Cement Limited",2018-08-23 12:21:14
"@CCI_India finds no Appreciable Adverse Effect on Competition in proposed acquisition of Ruchi Soya by Adani Wilmar Limited",2018-08-13 13:09:17
"@CCI_India approves acquisition of Intelenet BPO Holdings Private Limited and Intelenet Global Services Private Lim… https://t.co/xIeAgfYrO8",2018-08-13 11:46:37
"@CCI_India reduces the number of copies of information(s)/references/responses or other documents (in case of anti… https://t.co/5q7mg8vBXT",2018-08-13 05:22:55
